Number of hit	Text ID	Context before	Query item	Context after	URL	Matchbegin corpus position	Matchend corpus position
19	nyt_eng_19940726_0237	bombing provoked a near-rancorous response from Hussein . The Jordanian monarch bristled at the Israeli leader 's reference to ``	extremist	, radical Islamic terrorist movements , '' whose activities are `` undermining any possibility to achieve peace . '' Hussein	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=18	5067038	5067038
20	nyt_eng_19940726_0237	hostility existing in a region that has known no real peace for more than 50 years . Rabin charged that	extremist	anti-Israeli groups that are known to have used car bombings and other terrorist acts in the past are now employing	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=19	5067221	5067221
21	nyt_eng_19940726_0237	in the past and that Israel wo n't return occupied territory to Lebanon unless and until it rids itself of	extremist	groups . Six-year-old Courtney Thomas points to her `` owie , '' a 6-inch , vertical scar on her chest	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=20	5067372	5067372
22	nyt_eng_19940726_0250	attacks as the acts of cowards . Hussein , who some Middle East experts believe could become a target of	extremist	attacks for signing a pact with Israel , said he has spoken to his aides about `` the need for	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=21	5078086	5078086
23	nyt_eng_19940727_0159	Yigal Pressler , an adviser on terrorism to Prime Minister Yitzhak Rabin , Wednesday blamed what he described as ``	extremist	Islamic fundamentalist terrorism '' for this new wave of terror . Upon arrival at Ben-Gurion International airport from his meeting	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=22	5259237	5259237
24	nyt_eng_19940727_0165	Yigal Pressler , an adviser on terrorism to Prime Minister Yitzhak Rabin , Wednesday blamed what he described as ``	extremist	Islamic fundamentalist terrorism '' for this new wave of terror . Upon arrival at Ben-Gurion International airport from his meeting	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=23	5265769	5265769
25	nyt_eng_19940728_0261	Israel wants , or the recovery of the Golan Heights for Syria , but a broader realignment of moderate and	extremist	forces in the Middle East . Assad has suppressed Islamic fundamentalists in Syria , massacring thousands at Hama . But	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=24	5534578	5534578
26	nyt_eng_19940728_0261	. But he has made Iran a great ally and allowed the planting of Iranian terrorist forces in Lebanon .	Extremist	Palestinian groups opposed to peace with Israel have their headquarters in Damascus . With the loss of his main arms	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=25	5534617	5534617
27	nyt_eng_19940729_0302	who perform abortions is not justifiable . But while many anti-abortion leaders sought Friday to portray Hill as a lone	extremist	, with no following , it had been apparent even before the Chicago meeting that Hill had some significant support	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=26	5823806	5823806
28	nyt_eng_19940731_0217	Fight Crime . Deport Niggers . '' A recent report by an Atlanta organization , Neighbors Network , which studies	extremist	groups , said that the homosexual resolution was largely driven by groups at the fringe of the Christian right .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=27	6170573	6170573
29	nyt_eng_19940731_0217	me tremendously . '' Greaves said the problem is that in a political spectrum that ranges from center right to	extremist	right , those at the fringe can play a disproportionate role in political life . `` Cobb County is like	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=28	6170954	6170954
30	nyt_eng_19940731_0218	fanaticism in our midst we take less seriously . When a nicely dressed American preaches that absolute revealed truth justifies	extremist	action , most of us do not see the menace to civilized life . Paul J. Hill , a fundamentalist	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=29	6171515	6171515
31	nyt_eng_19940731_0218	view -- which in almost all Western countries is supported by law . One of the striking aspects of the	extremist	tactics used against abortion in this country is that they are a singularly American phenomenon . No such hysteria or	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=30	6171865	6171865
32	nyt_eng_19940801_0034	Fight Crime . Deport Niggers . '' A recent report by an Atlanta organization , Neighbors Network , which studies	extremist	groups , said that the homosexual resolution was largely driven by groups at the fringe of the Christian right .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=31	6249690	6249690
33	nyt_eng_19940801_0034	me tremendously . '' Greaves said the problem is that in a political spectrum that ranges from center right to	extremist	right , those at the fringe can play a disproportionate role in political life . `` Cobb County is like	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=32	6250071	6250071
34	nyt_eng_19940801_0036	fanaticism in our midst we take less seriously . When a nicely dressed American preaches that absolute revealed truth justifies	extremist	action , most of us do not see the menace to civilized life . Paul J. Hill , a fundamentalist	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=33	6251405	6251405
35	nyt_eng_19940801_0036	view -- which in almost all Western countries is supported by law . One of the striking aspects of the	extremist	tactics used against abortion in this country is that they are a singularly American phenomenon . No such hysteria or	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=34	6251755	6251755
36	nyt_eng_19940801_0188	lengths that stop short only of murder . The same day of the killing in Pensacola , the career anti-abortion	extremist	Randall Terry shoved a retired woman to the ground . Her offense ? Attending a church rally in Mississippi in	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=35	6312572	6312572
37	nyt_eng_19940801_0412	justified . He had been under police surveillance on several occasions , Potts said . `` We considered him an	extremist	in what he was doing , '' he said . `` But we do not have the manpower to watch	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=36	6445178	6445178
38	nyt_eng_19940802_0001	justified . He had been under police surveillance on several occasions , Potts said . `` We considered him an	extremist	in what he was doing , '' he said . `` But we do not have the manpower to watch	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=37	6494892	6494892
39	nyt_eng_19940804_0340	policies that undermine family values , like forcing gays into the military , or that the Republicans , backed by	extremist	religious leaders like Pat Robertson , use the government to impose their religious beliefs on others ? ' In every	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=38	7126140	7126140
40	nyt_eng_19940804_0340	government to impose their religious beliefs on others ? ' In every district , voters were more worried about the	extremist	religious leaders . '' The Security Council would crack down on Serbia with even harsher sanctions involving financial assets ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=39	7126169	7126169
41	nyt_eng_19940807_0089	everywhere . '' When people in the city were summoned to a rally at the local stadium by a new	extremist	Hutu prefect , Kazima told the Tutsi members of his team to hide in a house until he returned with	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=40	7573712	7573712
42	nyt_eng_19940809_0097	from the armed zealot charged with the double murder . Certainly they were smart to deny connections to this particular	extremist	, a one-time minister who openly approved the killing of abortion doctors . Still , there 's no denying it	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=41	7957687	7957687
43	nyt_eng_19940809_0254	Federal Office for the Protection of the Constitution , classified Deckert 's party in its 1993 annual report as an	extremist	group that encouraged anti-Semitism and racism . The party is not a contender in national elections on Oct. 16 .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=42	8050361	8050361
44	nyt_eng_19940811_0169	Bujumbura has thus far revolved around a test of political wills between Mathias Hitimana , who is considered a political	extremist	, and more moderate Tutsi political powerbrokers within the government and army who favor a broadbased government and who are	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=43	8392983	8392983
45	nyt_eng_19940811_0234	. There are some truly scary people who fully qualify as leaders of the radical religious right . With their	extremist	views , their insistence that they and they only have a pipeline straight to God , their insistence that they	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=44	8434186	8434186
46	nyt_eng_19940811_0322	erupt into the kind of ethnic violence that has shaken Rwanda . The disturbances , apparently directed by a jailed	extremist	, began on Sunday . At least 15 people have been killed , and the city was at a standstill	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=45	8490236	8490236
47	nyt_eng_19940811_0322	a Tutsi and the leader of the Party for the Reconciliation of the People ; the government considers him an	extremist	. On the other side , are more moderate Tutsi political powerbrokers in the government and the army who favor	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=46	8490401	8490401
48	nyt_eng_19940813_0093	'' said Philippin . `` And the more we wait , the more we leave the playground open to the	extremist	groups . '' LAUTENBERG BELATEDLY BACKS HEALTH CARE BILL After weeks on the White House 's 10 Most Wanted List	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=47	8861770	8861770
49	nyt_eng_19940814_0090	group that has labeled itself `` mainstream , '' not so subtly suggesting that conservative opposition to Government-dominated medicine is	extremist	. Ominously , Chafee is using Mitchell 's liberal bill as his lodestar ; meanwhile , Bob Dole is having	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=48	9009634	9009634
50	nyt_eng_19940814_0117	the triumph of the front on the weakness of president Juvenal Habyarimana . The president , who was surrounded by	extremist	Hutu elements in the army and the presidential guard , was killed when his plane was shot down on April	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=49	9030229	9030229
51	nyt_eng_19940814_0117	Be careful of these Tutsis who are working for you . They will overthrow you . '' ' Militias of	extremist	Hutu , which organized and led many of the massacres after the death of Habyarimana , were trained `` too	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=50	9030411	9030411
52	nyt_eng_19940814_0184	group that has labeled itself `` mainstream , '' not so subtly suggesting that conservative opposition to Government-dominated medicine is	extremist	. Ominously , Chafee is using Mitchell 's liberal bill as his lodestar ; meanwhile , Bob Dole is having	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=51	9079434	9079434
53	nyt_eng_19940815_0234	and flown secretly to France Monday . France 's interior minister , Charles Pasqua , said the 44 - year-old	extremist	, whose real name is Illich Ramirez Sanchez , would go on trial here for crimes committed in France .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=52	9179287	9179287
54	nyt_eng_19940815_0354	Sunday and flown secretly to France on Monday . France 's interior minister , Charles Pasqua , said the 44-year-old	extremist	, a native of Venezuela whose real name is Ilich Ramirez Sanchez , would go on trial here for crimes	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=53	9247365	9247365
55	nyt_eng_19940816_0077	despite their record as sponsors of terrorism , were also clearly glad to get rid of him . Sudan 's	extremist	Islamic rulers had no interest in employing him , even if the hard-drinking and physically out-of-shape Carlos were still employable	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=54	9372154	9372154
56	nyt_eng_19940816_0078	despite their record as sponsors of terrorism , were also clearly glad to get rid of him . Sudan 's	extremist	Islamic rulers had no interest in employing him , even if the hard-drinking and physically out-of-shape Carlos were still employable	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=55	9373089	9373089
57	nyt_eng_19940816_0140	put life on hold for thousands until sunrise Tuesday . Whether coincidence or not , the government Tuesday released an	extremist	opposition leader , Matthias Hitimana , whose arrest eight days ago had prompted the most severe general strike to hit	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=56	9393010	9393010
58	nyt_eng_19940816_0140	bombing that killed one person and injured 63 others in Paris in 1982 , one witness said the 44-year-old Venezuelan-born	extremist	`` emerged less smiling than when he entered . '' WASHINGTON -LRB- NYT -RRB- -- Worried by the prospect of	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=57	9393991	9393991
59	nyt_eng_19940816_0167	minister has called upon the `` international community and moderate -LRB- sic -RRB- Arab states to build a dam against	extremist	Islamic terror . '' No one can or should deny the savagery of the attacks on the Jewish community center	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=58	9410441	9410441
60	nyt_eng_19940816_0168	minister has called upon the `` international community and moderate -LRB- sic -RRB- Arab states to build a dam against	extremist	Islamic terror . '' No one can or should deny the savagery of the attacks on the Jewish community center	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=59	9411940	9411940
61	nyt_eng_19940817_0070	minister has called upon the `` international community and moderate -LRB- sic -RRB- Arab states to build a dam against	extremist	Islamic terror . '' No one can or should deny the savagery of the attacks on the Jewish community center	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=60	9600910	9600910
62	nyt_eng_19940817_0071	minister has called upon the `` international community and moderate -LRB- sic -RRB- Arab states to build a dam against	extremist	Islamic terror . '' No one can or should deny the savagery of the attacks on the Jewish community center	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=61	9602409	9602409
63	nyt_eng_19940818_0090	minister has called upon the `` international community and moderate -LRB- sic -RRB- Arab states to build a dam against	extremist	Islamic terror . '' No one can or should deny the savagery of the attacks on the Jewish community center	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=62	9839716	9839716
64	nyt_eng_19940818_0091	minister has called upon the `` international community and moderate -LRB- sic -RRB- Arab states to build a dam against	extremist	Islamic terror . '' No one can or should deny the savagery of the attacks on the Jewish community center	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=63	9841215	9841215
65	nyt_eng_19940821_0003	the politics of ideas . The Social Democrats ' decline will help too : in the past the party 's	extremist	views -LRB- hostility to America , sympathy for Stalinist North Korea -RRB- rendered moderate debate futile . Now that politics	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=64	10588611	10588611
66	nyt_eng_19940821_0003	the politics of ideas . The Social Democrats ' decline will help too : in the past the party 's	extremist	views -LRB- hostility to America , sympathy for Stalinist North Korea -RRB- rendered moderate debate futile . Now that politics	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=65	10589541	10589541
67	nyt_eng_19940821_0003	the politics of ideas . The Social Democrats ' decline will help too : in the past the party 's	extremist	views -LRB- hostility to America , sympathy for Stalinist North Korea -RRB- rendered moderate debate futile . Now that politics	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=66	10763602	10763602
68	nyt_eng_19940821_0003	the politics of ideas . The Social Democrats ' decline will help too : in the past the party 's	extremist	views -LRB- hostility to America , sympathy for Stalinist North Korea -RRB- rendered moderate debate futile . Now that politics	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=67	10764532	10764532
69	nyt_eng_19940821_0003	of the Human Rights Campaign Fund , a gay political group , said , `` All political stripes reject the	extremist	anti-gay agenda . '' Call him the Democrats ' pit bull . Rep. David Bonior , D-Mich . , a	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=68	12511212	12511212
70	nyt_eng_19940821_0003	havoc at fox hunts and extremists willing to use terrorist tactics . Last month , the 28-year-old leader of an	extremist	group called the Animal Liberation Front was sentenced to 14 years in prison for firebombing butcher shops and meat-trucking companies	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=69	12770582	12770582
71	nyt_eng_19940821_0003	'' First Deputy Foreign Minister Igor Ivanov told a Russian news agency . `` There are of course attempts by	extremist	forces in Muslim states to distort the essence of the conflict and attach a religious character to it . ''	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=70	13216152	13216152
72	nyt_eng_19940821_0003	Gaza the peace process would stop . A report on Israeli television said Arafat assured Peres he would act against	extremist	groups . Scientists have found that leaf-cutting ants use high-frequency chirps to help them slice neatly through tender greenery .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=71	15187148	15187148
73	nyt_eng_19940821_0003	. So far , Rabin and Foreign Minister Shimon Peres have followed every attack against Israel with a statement that	extremist	Palestinians will not be allowed to stop the peace process . Both speak as if the terrorists were somehow separate	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=72	15204165	15204165
74	nyt_eng_19940821_0003	mainstream parties becoming discredited and their leaders losing influence , the fear is that Europe 's voters may turn to	extremist	parties , like France 's Jean-Marie Le Pen and his far-right National Front . The test will be France ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=73	15398828	15398828
75	nyt_eng_19940821_0003	, moderate Palestinians -LRB- who profess to want only the West Bank and East Jerusalem -RRB- will triumph , and	extremist	Palestinians -LRB- who demand no less than the destruction of the Zionist entity -RRB- will be defeated . The questions	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=74	15767636	15767636
76	nyt_eng_19940821_0003	Iran and Syria . '' De Gaudet observed that Clinton 's latest decision to freeze the U.S. assets of Palestinian	extremist	organizations brought a cool reaction from French officials because he failed to take similar action against Algeria 's terrorist National	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=75	15955141	15955141
77	nyt_eng_19940821_0003	1.2 million trying to keep his job . Stockman spent $ 110,000 . Although Brooks dismissed his opponent as an	extremist	, Stockman rode the Republican tide into office with a low-budget campaign that he ran from the garage of his	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=76	16427375	16427375
78	nyt_eng_19940821_0003	at all . The ease with which Italy 's `` post-fascist '' leader , Gianfranco Fini , has transformed an	extremist	rabble into a mainstream political party that is winning respect from many Italian moderates is sounding alarm bells elsewhere in	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=77	17169351	17169351
79	nyt_eng_19940821_0003	and so are her attitudes . What people should understand , she said , is that not everyone is an	extremist	in Algeria , that for every critic denouncing her appearance in shorts , there are friends and family urging her	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=78	17613059	17613059
80	nyt_eng_19940821_0003	In a different day and age , it is possible that this case , with its suggestions of an Islamic	extremist	threat , of foreign connections , of bombs and mayhem against ordinary Americans , would be deemed of greater national	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=79	17778991	17778991
81	nyt_eng_19940821_0003	In a different day and age , it is possible that this case , with its suggestions of an Islamic	extremist	threat , of foreign connections , of bombs and mayhem against ordinary Americans , would be deemed of greater national	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=80	17780964	17780964
82	nyt_eng_19940821_0003	massacre at the mosque in Hebron and Jews generally did not protest the president 's freezing of funds of two	extremist	Jewish groups . The assumption that all Muslims must be angry at action against Muslim terrorists strengthens the killers .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=81	17784174	17784174
83	nyt_eng_19940821_0003	campaign to `` eradicate '' Muslim fundamentalist opposition . But the failure of the Algerian army 's campaign to subdue	extremist	guerrillas , and the danger that the conflict may spill into France and spread elsewhere in Europe , appears to	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=82	18060713	18060713
84	nyt_eng_19940821_0003	passion . A sequel -- although not widely reported as such at the time -- to the assassination of the	extremist	Rabbi Meir Kahane . It was a tragedy for the families of six people killed in the blast . Jim	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=83	18773104	18773104
85	nyt_eng_19940821_0003	are here to send a very strong message that the majority of Americans will not allow a narrow band of	extremist	special interest groups to derail Dr. Foster 's nomination , '' said Rep. Nita Lowey , co-chair of the House	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=84	18906470	18906470
86	nyt_eng_19940821_0003	their own campaign in support of Foster . `` The majority of Americans will not allow a narrow band of	extremist	special interest groups to derail Dr. Foster 's nomination , '' said Rep. Nita M. Lowey , a Democrat from	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=85	18992082	18992082
87	nyt_eng_19940821_0003	Iraqi connection is established in the World Trade Center case , it will be despite a dauntingly complex skein of	extremist	groups . Intelligence and counter-terrorism specialists say links among these groups are often hard to discern and often may be	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=86	19527123	19527123
